term,definition,type,occurrences
nigerite-24r,,Semantic Web for Earth and Environment Technology Ontology.json,1
nigerite-6h,,Semantic Web for Earth and Environment Technology Ontology.json,1
nigerite-6t,,Semantic Web for Earth and Environment Technology Ontology.json,1
niggliite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niigataite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nikischerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niksergievite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nimesite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nimite,,Semantic Web for Earth and Environment Technology Ontology.json,1
ningyoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niningerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niobite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niobo-aeschynite (ce),,Semantic Web for Earth and Environment Technology Ontology.json,1
niobo-aeschynite (nd),,Semantic Web for Earth and Environment Technology Ontology.json,1
niobo-aeschynite (y),,Semantic Web for Earth and Environment Technology Ontology.json,1
nioboaeschynite (ce),,Semantic Web for Earth and Environment Technology Ontology.json,1
nioboaeschynite (nd),,Semantic Web for Earth and Environment Technology Ontology.json,1
nioboaeschynite (y),,Semantic Web for Earth and Environment Technology Ontology.json,1
niobocarbide,,Semantic Web for Earth and Environment Technology Ontology.json,1
niobokupletskite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niobophyllite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niocalite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nisbite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nissonite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niter,,Semantic Web for Earth and Environment Technology Ontology.json,1
nitrammite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nitratine,,Semantic Web for Earth and Environment Technology Ontology.json,1
nitratite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nitre,,Semantic Web for Earth and Environment Technology Ontology.json,1
nitrobarite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nitrocalcite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nitromagnesite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nitronatrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niveolanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nobleite,,Semantic Web for Earth and Environment Technology Ontology.json,1
noelbensonite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nolanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nonmetallic mineral,"The majority of minerals are non-metallic, i.e., they are not elemental minerals which are of metal elements or alloys of metals. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
nontronite,,Semantic Web for Earth and Environment Technology Ontology.json,1
norbergite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nordenskioeldine,,Semantic Web for Earth and Environment Technology Ontology.json,1
nordenskioldine,,Semantic Web for Earth and Environment Technology Ontology.json,1
nordite (ce),,Semantic Web for Earth and Environment Technology Ontology.json,1
nordite (la),,Semantic Web for Earth and Environment Technology Ontology.json,1
nordstrandite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nordstroemite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nordstromite,,Semantic Web for Earth and Environment Technology Ontology.json,1
normandite,,Semantic Web for Earth and Environment Technology Ontology.json,1
norrishite,,Semantic Web for Earth and Environment Technology Ontology.json,1
norsethite,,Semantic Web for Earth and Environment Technology Ontology.json,1
northupite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nosean,,Semantic Web for Earth and Environment Technology Ontology.json,1
noselite,,Semantic Web for Earth and Environment Technology Ontology.json,1
novacekite,,Semantic Web for Earth and Environment Technology Ontology.json,1
novakite,,Semantic Web for Earth and Environment Technology Ontology.json,1
novgorodovaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
novodneprite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nowackiite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nsutite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nuffieldite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nukundamite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nullaginite,,Semantic Web for Earth and Environment Technology Ontology.json,1
numanoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nussierite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nyboite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nyerereite,,Semantic Web for Earth and Environment Technology Ontology.json,1
obertiite,,Semantic Web for Earth and Environment Technology Ontology.json,1
oboyerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
obradovicite,,Semantic Web for Earth and Environment Technology Ontology.json,1
obruchevite,,Semantic Web for Earth and Environment Technology Ontology.json,1
octahedrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
odanielite,,Semantic Web for Earth and Environment Technology Ontology.json,1
odinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
odintsovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
oellacherite,,Semantic Web for Earth and Environment Technology Ontology.json,1
oenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
oerebroite,,Semantic Web for Earth and Environment Technology Ontology.json,1
offretite,,Semantic Web for Earth and Environment Technology Ontology.json,1
oftedalite,,Semantic Web for Earth and Environment Technology Ontology.json,1
ogdensburgite,,Semantic Web for Earth and Environment Technology Ontology.json,1
ohmilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
ojuelaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
okanoganite (y),,Semantic Web for Earth and Environment Technology Ontology.json,1
okayamalite,,Semantic Web for Earth and Environment Technology Ontology.json,1
okenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
okhotskite (mg),,Semantic Web for Earth and Environment Technology Ontology.json,1
okhotskite (mn++),,Semantic Web for Earth and Environment Technology Ontology.json,1
oldhamite,,Semantic Web for Earth and Environment Technology Ontology.json,1
olekminskite,,Semantic Web for Earth and Environment Technology Ontology.json,1
olenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
olgite,,Semantic Web for Earth and Environment Technology Ontology.json,1
oligoclase,,Semantic Web for Earth and Environment Technology Ontology.json,1
olivenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
olivine,,Semantic Web for Earth and Environment Technology Ontology.json,1
olkhonskite,,Semantic Web for Earth and Environment Technology Ontology.json,1
olmiite,,Semantic Web for Earth and Environment Technology Ontology.json,1
olmsteadite,,Semantic Web for Earth and Environment Technology Ontology.json,1
olsacherite,,Semantic Web for Earth and Environment Technology Ontology.json,1
olshanskyite,,Semantic Web for Earth and Environment Technology Ontology.json,1
olvine,,Semantic Web for Earth and Environment Technology Ontology.json,1
olympite,,Semantic Web for Earth and Environment Technology Ontology.json,1
omeiite,,Semantic Web for Earth and Environment Technology Ontology.json,1
ominelite,,Semantic Web for Earth and Environment Technology Ontology.json,1
omongwaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
omphacite,,Semantic Web for Earth and Environment Technology Ontology.json,1
oneillite,,Semantic Web for Earth and Environment Technology Ontology.json,1
onofrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
onoratoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
oosterboschite,,Semantic Web for Earth and Environment Technology Ontology.json,1
opal,,Semantic Web for Earth and Environment Technology Ontology.json,1
orange bornite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orangite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orcelite,,Semantic Web for Earth and Environment Technology Ontology.json,1
ordonezite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orebroite-iii,,Semantic Web for Earth and Environment Technology Ontology.json,1
orebroite-viii,,Semantic Web for Earth and Environment Technology Ontology.json,1
oregonite,,Semantic Web for Earth and Environment Technology Ontology.json,1
organovaite-mn,,Semantic Web for Earth and Environment Technology Ontology.json,1
organovaite-zn,,Semantic Web for Earth and Environment Technology Ontology.json,1
orickite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orientite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orlandiite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orlovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orlymanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
oro,,Semantic Web for Earth and Environment Technology Ontology.json,1
orpheite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orpiment,,Semantic Web for Earth and Environment Technology Ontology.json,1
orschallite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthoantigorite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthobrannerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthochamosite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthochevkinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthochrysotile,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthoclase,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthoenstatite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthoericssonite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthoferrosilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
orthojoaquinite (ce),,Semantic Web for Earth and Environment Technology Ontology.json,1
